Country,State,Date,ConfirmedCases,ConfirmedDeaths,
Belgium,All,1/3/20,0,0,
Belgium,All,1/4/20,0,0,
Belgium,All,1/5/20,0,0,
Belgium,All,1/6/20,0,0,
Belgium,All,1/7/20,0,0,
Belgium,All,1/8/20,0,0,
Belgium,All,1/9/20,0,0,
Belgium,All,1/10/20,0,0,
Belgium,All,1/11/20,0,0,
Belgium,All,1/12/20,0,0,
Belgium,All,1/13/20,0,0,
Belgium,All,1/14/20,0,0,
Belgium,All,1/15/20,0,0,
Belgium,All,1/16/20,0,0,
Belgium,All,1/17/20,0,0,
Belgium,All,1/18/20,0,0,
Belgium,All,1/19/20,0,0,
Belgium,All,1/20/20,0,0,
Belgium,All,1/21/20,0,0,
Belgium,All,1/22/20,0,0,
Belgium,All,1/23/20,0,0,
Belgium,All,1/24/20,0,0,
Belgium,All,1/25/20,0,0,
Belgium,All,1/26/20,0,0,
Belgium,All,1/27/20,0,0,
Belgium,All,1/28/20,0,0,
Belgium,All,1/29/20,0,0,
Belgium,All,1/30/20,0,0,
Belgium,All,1/31/20,0,0,
Belgium,All,2/1/20,0,0,
Belgium,All,2/2/20,0,0,
Belgium,All,2/3/20,0,0,
Belgium,All,2/4/20,1,0,
Belgium,All,2/5/20,1,0,
Belgium,All,2/6/20,1,0,
Belgium,All,2/7/20,1,0,
Belgium,All,2/8/20,1,0,
Belgium,All,2/9/20,1,0,
Belgium,All,2/10/20,1,0,
Belgium,All,2/11/20,1,0,
Belgium,All,2/12/20,1,0,
Belgium,All,2/13/20,1,0,
Belgium,All,2/14/20,1,0,
Belgium,All,2/15/20,1,0,
Belgium,All,2/16/20,1,0,
Belgium,All,2/17/20,1,0,
Belgium,All,2/18/20,1,0,
Belgium,All,2/19/20,1,0,
Belgium,All,2/20/20,1,0,
Belgium,All,2/21/20,1,0,
Belgium,All,2/22/20,1,0,
Belgium,All,2/23/20,1,0,
Belgium,All,2/24/20,1,0,
Belgium,All,2/25/20,1,0,
Belgium,All,2/26/20,1,0,
Belgium,All,2/27/20,1,0,
Belgium,All,2/28/20,1,0,
Belgium,All,2/29/20,1,0,
Belgium,All,3/1/20,1,0,
Belgium,All,3/2/20,2,0,
Belgium,All,3/3/20,8,0,
Belgium,All,3/4/20,13,0,
Belgium,All,3/5/20,23,0,
Belgium,All,3/6/20,50,0,
Belgium,All,3/7/20,109,0,
Belgium,All,3/8/20,169,0,
Belgium,All,3/9/20,200,0,
Belgium,All,3/10/20,239,0,
Belgium,All,3/11/20,267,0,
Belgium,All,3/12/20,314,3,
Belgium,All,3/13/20,399,3,
